"zcta5","state","puma2k","stab","zipname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"ZIP Census Tabulation Area","FIPS state","puma2k","State Postal Code","zipname","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","zcta5 to puma2k alloc factor","puma2k to zcta5 alloc factor"
"01536","25","01500","MA","North Grafton, MA","2501500",-71.648737,42.243442,7,0.001016,0.000063 
"01536","25","02200","MA","North Grafton, MA","2502200",-71.699287,42.229374,6881,0.998983,0.055696 
"01537","25","02100","MA","North Oxford, MA","2502100",-71.891883,42.168487,2248,1,0.017048 
"01540","25","02100","MA","Oxford, MA","2502100",-71.86811,42.114725,11291,1,0.085625 
"01541","25","01500","MA","Princeton, MA","2501500",-71.876425,42.451407,3413,1,0.030672 
"01542","25","02100","MA","Rochdale, MA","2502100",-71.904383,42.189875,170,0.077202,0.001289 
"01542","25","02200","MA","Rochdale, MA","2502200",-71.911461,42.20079,2032,0.922797,0.016447 
"01543","25","01500","MA","Rutland, MA","2501500",-71.951082,42.377747,7973,1,0.071651 
"01545","25","02200","MA","Shrewsbury, MA","2502200",-71.715492,42.284724,35285,0.999603,0.285604 
"01545","25","02300","MA","Shrewsbury, MA","2502300",-71.742776,42.2434,14,0.000397,0.000077 
"01550","25","02100","MA","Southbridge Town, MA","2502100",-72.034305,42.074676,16719,1,0.126788 
"01560","25","02200","MA","South Grafton, MA","2502200",-71.679861,42.174739,4527,1,0.036642 
"01561","25","00400","MA","South Lancaster, MA","2500400",-71.685557,42.443188,330,1,0.002999 
"01562","25","01500","MA","Spencer, MA","2501500",-71.988922,42.244555,11688,1,0.105037 
"01564","25","00400","MA","Sterling, MA","2500400",-71.71871,42.442646,2,0.000256,0.000018 
"01564","25","01500","MA","Sterling, MA","2501500",-71.769229,42.437869,7806,0.999743,0.07015 
"01566","25","02100","MA","Sturbridge, MA","2502100",-72.076858,42.109037,6294,1,0.04773 
"01568","25","02400","MA","Upton, MA","2502400",-71.608173,42.17124,7480,1,0.067385 
"01569","25","02100","MA","Uxbridge, MA","2502100",-71.632689,42.072683,13569,1,0.1029 
"01570","25","02100","MA","Webster, MA","2502100",-71.864612,42.047782,16767,1,0.127152 
"01571","25","02100","MA","Dudley, MA","2502100",-71.918082,42.048944,11390,1,0.086376 
"01581","25","01500","MA","Westborough, MA","2501500",-71.616062,42.267646,18272,1,0.164206 
"01583","25","02200","MA","West Boylston, MA","2502200",-71.783048,42.356808,7541,0.993413,0.061038 
"01583","25","02300","MA","West Boylston, MA","2502300",-71.790279,42.338119,50,0.006587,0.000276 
"01585","25","01500","MA","West Brookfield, MA","2501500",-72.155727,42.235227,4554,1,0.040926 
"01588","25","02100","MA","Whitinsville, MA","2502100",-71.667407,42.118586,9733,1,0.07381 
"01590","25","02100","MA","Sutton, MA","2502100",-71.740975,42.143551,8875,1,0.067303 
"01602","25","02300","MA","Worcester, MA","2502300",-71.842721,42.270536,22819,1,0.125998 
"01603","25","02300","MA","Worcester, MA","2502300",-71.837733,42.245044,19916,1,0.109969 
