"zcta5","state","sduni","stab","zipname","uschlnm10","intptlon","intptlat","pop10","afact","AFACT2"
"ZIP Census Tabulation Area","FIPS state","sduni","State Postal Code","zipname","Unified School District Name 2010","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","zcta5 to sduni alloc factor","sduni to zcta5 alloc factor"
"06043","09"," ","CT","Bolton, CT","09",-72.422042,41.731424,6,0.001203,0.000027
"06043","09","00360","CT","Bolton, CT","Bolton School District",-72.439273,41.767139,4980,0.998796,1
"06051","09","02670","CT","New Britain, CT","New Britain School District",-72.771919,41.666238,30519,1,0.416892
"06052","09","00210","CT","New Britain, CT","Berlin School District",-72.811077,41.645634,5,0.000636,0.000252
"06052","09","02670","CT","New Britain, CT","New Britain School District",-72.799885,41.65874,7853,0.999363,0.107273
"06053","09","01560","CT","New Britain, CT","Farmington School District",-72.804069,41.698732,24,0.000688,0.000947
"06053","09","02670","CT","New Britain, CT","New Britain School District",-72.78851,41.687247,34834,0.999168,0.475835
"06053","09","03300","CT","New Britain, CT","Plainville School District",-72.827595,41.680791,5,0.000143,0.000282
"06057","09"," ","CT","New Hartford, CT","09",-73.011052,41.849747,6707,1,0.030681
"06058","09"," ","CT","Norfolk, CT","09",-73.19613,41.982563,1720,0.962507,0.007868
"06058","09","03515","CT","Norfolk, CT","Regional School District 06",-73.176777,41.902939,67,0.037493,0.009817
"06060","09"," ","CT","North Granby, CT","09",-72.868202,42.035059,13,0.005037,0.000059
"06060","09","01680","CT","North Granby, CT","Granby School District",-72.842173,42.011382,2568,0.994963,0.227619
"06061","09"," ","CT","New Hartford Center, CT","09",-72.967296,41.876249,169,1,0.000773
"06062","09","00510","CT","Plainville, CT","Bristol School District",-72.887764,41.669707,4,0.000226,0.000066
"06062","09","03300","CT","Plainville, CT","Plainville School District",-72.86342,41.671884,17711,0.999774,0.999718
"06063","09"," ","CT","Barkhamsted, CT","09",-72.97184,41.920533,3285,1,0.015027
"06065","09"," ","CT","Riverton, CT","09",-73.008375,41.973058,882,1,0.004035
"06066","09","01440","CT","Vernon Rockville, CT","Ellington School District",-72.468343,41.869782,40,0.001369,0.002564
"06066","09","04680","CT","Vernon Rockville, CT","Vernon School District",-72.466075,41.847632,29179,0.998631,1
"06067","09","03840","CT","Rocky Hill, CT","Rocky Hill School District",-72.667884,41.656872,19709,1,1
"06068","09"," ","CT","Salisbury, CT","09",-73.414542,42.002728,1612,1,0.007374
"06069","09"," ","CT","Sharon, CT","09",-73.460613,41.868981,2535,1,0.011596
"06070","09","04110","CT","Simsbury, CT","Simsbury School District",-72.820542,41.877286,15104,1,0.642423
"06071","09","04140","CT","Somers, CT","Somers School District",-72.464063,41.999113,11444,0.982739,1
"06071","09","04290","CT","Somers, CT","Stafford School District",-72.395991,41.980693,201,0.017261,0.016629
"06073","09","01620","CT","South Glastonbury, CT","Glastonbury School District",-72.575874,41.660207,5651,1,0.164144
"06074","09","04170","CT","South Windsor, CT","South Windsor School District",-72.554695,41.833467,25705,1,0.999844
"06076","09"," ","CT","Stafford Springs, CT","09",-72.170916,41.994817,773,0.061063,0.003536
"06076","09","04290","CT","Stafford Springs, CT","Stafford School District",-72.312702,41.973035,11886,0.938937,0.98337
"06078","09","04470","CT","Suffield, CT","Suffield School District",-72.637604,41.984268,12413,1,0.788878
"06081","09","04110","CT","Tariffville, CT","Simsbury School District",-72.768084,41.906517,1381,1,0.058738
"06082","09","01470","CT","Enfield, CT","Enfield School District",-72.562887,41.990351,44654,1,1
"06084","09","01440","CT","Tolland, CT","Ellington School District",-72.32878,41.930759,15,0.000996,0.000961
"06084","09","04560","CT","Tolland, CT","Tolland School District",-72.367111,41.875115,15052,0.999004,1
"06085","09","00120","CT","Unionville, CT","Avon School District",-72.873012,41.764331,17,0.002336,0.000939
"06085","09","01560","CT","Unionville, CT","Farmington School District",-72.887011,41.746163,7259,0.997663,0.286464
"06088","09","01350","CT","East Windsor, CT","East Windsor School District",-72.601942,41.909626,4936,1,0.442214
"06089","09","04110","CT","Weatogue, CT","Simsbury School District",-72.825807,41.83638,2813,1,0.119646
"06090","09","01680","CT","West Granby, CT","Granby School District",-72.855196,41.947776,1232,1,0.1092
"06091","09"," ","CT","West Hartland, CT","09",-72.974842,42.018254,140,1,0.00064
"06092","09","04110","CT","West Simsbury, CT","Simsbury School District",-72.857045,41.861955,4203,1,0.178767
"06093","09","04470","CT","West Suffield, CT","Suffield School District",-72.731993,42.007541,3322,1,0.211122
"06095","09","01920","CT","Windsor, CT","Hartford School District",-72.659069,41.801874,35,0.001204,0.000281
"06095","09","05220","CT","Windsor, CT","Windsor School District",-72.664579,41.856979,29044,0.998796,1
"06096","09","05250","CT","Windsor Locks, CT","Windsor Locks School District",-72.644651,41.926593,12498,1,1
"06098","09"," ","CT","Winsted, CT","09",-73.077393,41.975926,1355,0.109046,0.006198
"06098","09","05160","CT","Winsted, CT","Winchester School District",-73.07431,41.923035,11071,0.890954,0.984789
"06103","09","01920","CT","Hartford, CT","Hartford School District",-72.675695,41.766582,1410,1,0.0113
"06105","09","01920","CT","Hartford, CT","Hartford School District",-72.701086,41.769251,18801,0.969523,0.150679
"06105","09","04920","CT","Hartford, CT","West Hartford School District",-72.716751,41.768805,591,0.030476,0.009341
"06106","09","01920","CT","Hartford, CT","Hartford School District",-72.694934,41.750062,39902,1,0.319792
"06107","09","01560","CT","West Hartford, CT","Farmington School District",-72.765383,41.734816,88,0.004684,0.003473
"06107","09","04920","CT","West Hartford, CT","West Hartford School District",-72.753815,41.75547,18698,0.995316,0.295536
"06108","09","01260","CT","East Hartford, CT","East Hartford School District",-72.617376,41.780418,24307,1,0.474264
"06109","09","05070","CT","Wethersfield, CT","Wethersfield School District",-72.676488,41.701396,26668,1,1
"06110","09","01920","CT","West Hartford, CT","Hartford School District",-72.714625,41.728666,74,0.00585,0.000593
"06110","09","04920","CT","West Hartford, CT","West Hartford School District",-72.733284,41.733438,12576,0.99415,0.198773
"06111","09","02880","CT","Newington, CT","Newington School District",-72.72875,41.685837,30562,1,1
"06112","09","01920","CT","Hartford, CT","Hartford School District",-72.695442,41.790522,22879,1,0.183362
"06114","09","01920","CT","Hartford, CT","Hartford School District",-72.680445,41.739886,27449,1,0.219988
"06117","09","01920","CT","West Hartford, CT","Hartford School District",-72.71606,41.800442,1338,0.077489,0.010723
"06117","09","04920","CT","West Hartford, CT","West Hartford School District",-72.745271,41.790265,15929,0.922511,0.25177
"06118","09","01260","CT","East Hartford, CT","East Hartford School District",-72.611096,41.748272,26942,0.99948,0.525677
"06118","09","01620","CT","East Hartford, CT","Glastonbury School District",-72.628403,41.725029,14,0.000519,0.000407
"06119","09","04920","CT","West Hartford, CT","West Hartford School District",-72.726719,41.762545,15474,1,0.244579
"06120","09","01920","CT","Hartford, CT","Hartford School District",-72.67484,41.786188,12887,1,0.103282
"06226","09"," ","CT","Willimantic, CT","09",-72.204612,41.730058,445,0.022124,0.002036
"06226","09","05190","CT","Willimantic, CT","Windham School District",-72.212134,41.71597,19669,0.977876,0.778415
"06231","09"," ","CT","Amston, CT","09",-72.36205,41.630062,4083,1,0.018678
"06232","09"," ","CT","Andover, CT","09",-72.376294,41.733664,3297,1,0.015082
"06234","09"," ","CT","Brooklyn, CT","09",-71.937007,41.786886,8244,1,0.037712
"06235","09"," ","CT","Chaplin, CT","09",-72.12827,41.784279,2257,1,0.010325
"06237","09"," ","CT","Columbia, CT","09",-72.307014,41.698747,5485,0.998725,0.025091
"06237","09","00960","CT","Columbia, CT","Coventry School District",-72.311484,41.73365,7,0.001275,0.000563
"06238","09","00960","CT","Coventry, CT","Coventry School District",-72.338528,41.785726,12428,1,0.999437
"06239","09","02070","CT","Danielson, CT","Killingly School District",-71.870767,41.802641,10315,0.922382,0.59384
"06239","09","03270","CT","Danielson, CT","Plainfield School District",-71.904213,41.751044,868,0.077618,0.056345
"06241","09","02070","CT","Dayville, CT","Killingly School District",-71.864645,41.854266,6650,1,0.382844
"06242","09"," ","CT","Eastford, CT (PO Boxes)","09",-72.094068,41.898535,1408,1,0.006441
"06243","09","02070","CT","East Killingly, CT","Killingly School District",-71.804423,41.84495,60,1,0.003454
"06247","09"," ","CT","Hampton, CT","09",-72.071621,41.756598,2841,1,0.012996
"06248","09"," ","CT","Hebron, CT","09",-72.399528,41.681583,5603,1,0.025631
"06249","09","02130","CT","Lebanon, CT","Lebanon School District",-72.241505,41.634058,7308,1,1
"06250","09"," ","CT","Mansfield Center, CT","09",-72.210385,41.759171,4821,1,0.022054
"06254","09"," ","CT","North Franklin, CT","09",-72.142129,41.613558,1922,1,0.008792
"06255","09","04530","CT","North Grosvenordale, CT","Thompson School District",-71.89869,41.988142,4744,1,0.501585
"06256","09","05190","CT","North Windham, CT","Windham School District",-72.165891,41.737411,2154,1,0.085246
"06259","09"," ","CT","Pomfret Center, CT","09",-71.979459,41.872315,4498,1,0.020576
"06260","09","03480","CT","Putnam, CT","Putnam School District",-71.897561,41.917713,9510,1,0.992279
"06262","09","04530","CT","Quinebaug, CT","Thompson School District",-71.94735,42.021737,586,1,0.061958
"06263","09","02070","CT","Rogers, CT (PO Boxes)","Killingly School District",-71.906092,41.839338,345,1,0.019862
"06264","09"," ","CT","Scotland, CT","09",-72.089166,41.695125,166,1,0.000759
"06266","09","05190","CT","South Windham, CT","Windham School District",-72.169022,41.672868,495,1,0.01959
"06268","09"," ","CT","Storrs Mansfield, CT","09",-72.259081,41.803594,11481,1,0.05252
"06269","09"," ","CT","Storrs, CT","09",-72.254614,41.808493,9844,1,0.045032
"06277","09","03480","CT","Thompson, CT","Putnam School District",-71.88434,41.929533,74,0.017874,0.007721
"06277","09","04530","CT","Thompson, CT","Thompson School District",-71.844136,41.973873,4066,0.982125,0.4299
"06278","09"," ","CT","Ashford, CT","09",-72.171135,41.886168,4454,1,0.020375
"06279","09"," ","CT","Willington, CT","09",-72.270523,41.874898,6041,1,0.027635
"06280","09"," ","CT","Windham, CT","09",-72.104562,41.679916,212,0.067046,0.00097
"06280","09","05190","CT","Windham, CT","Windham School District",-72.158684,41.701989,2950,0.932953,0.116748
"06281","09"," ","CT","Woodstock, CT","09",-72.001591,41.964117,6868,0.991053,0.031418
"06281","09","04530","CT","Woodstock, CT","Thompson School District",-71.94454,41.988905,62,0.008947,0.006555
"06282","09"," ","CT","Woodstock Valley, CT","09",-72.069317,41.946493,1096,1,0.005014
"06320","09","02820","CT","New London, CT","New London School District",-72.105833,41.351646,27603,0.999493,0.999384
"06320","09","04860","CT","New London, CT","Waterford School District",-72.106798,41.384523,14,0.000507,0.000717
"06330","09"," ","CT","Baltic, CT","09",-72.077693,41.630027,3282,1,0.015014
"06331","09"," ","CT","Canterbury, CT","09",-72.00544,41.689854,5137,1,0.023499
"06332","09","03270","CT","Central Village, CT (PO Boxes)","Plainfield School District",-71.90257,41.727527,258,1,0.016748
"06333","09","01320","CT","East Lyme, CT","East Lyme School District",-72.23126,41.372355,6607,1,0.344851
"06334","09"," ","CT","Bozrah, CT","09",-72.169041,41.546739,2543,0.981095,0.011633
"06334","09","03120","CT","Bozrah, CT","Norwich School District",-72.130431,41.561947,49,0.018904,0.00121
"06335","09","02160","CT","Gales Ferry, CT","Ledyard School District",-72.066614,41.429198,6729,1,0.44708
"06336","09"," ","CT","Gilman, CT","09",-72.195207,41.579223,84,1,0.000384
"06339","09","02160","CT","Ledyard, CT","Ledyard School District",-71.99621,41.440197,8302,1,0.551591
"06340","09","01770","CT","Groton, CT","Groton School District",-72.057722,41.356252,31238,0.999872,0.778711
"06340","09","02160","CT","Groton, CT","Ledyard School District",-72.091305,41.400783,4,0.000128,0.000266
"06350","09"," ","CT","Hanover, CT (PO Boxes)","09",-72.067511,41.647748,67,1,0.000306
"06351","09"," ","CT","Jewett City, CT","09",-72.01595,41.601265,4350,0.266855,0.019899
"06351","09","01740","CT","Jewett City, CT","Griswold School District",-71.945934,41.595144,11951,0.733145,1
"06353","09","02580","CT","Oxoboxo River, CT","Montville School District",-72.135092,41.454027,162,1,0.008278
"06354","09"," ","CT","Moosup, CT","09",-71.830255,41.669119,448,0.072952,0.002049
"06354","09","03270","CT","Moosup, CT","Plainfield School District",-71.876743,41.72098,5693,0.927047,0.369555
"06355","09","01770","CT","Mystic, CT","Groton School District",-71.985316,41.367649,8877,0.683635,0.221289
"06355","09","04380","CT","Mystic, CT","Stonington School District",-71.956528,41.361313,4108,0.316365,0.221515
"06357","09","01320","CT","Niantic, CT","East Lyme School District",-72.214859,41.325072,12552,1,0.655149
"06359","09","02160","CT","North Stonington, CT","Ledyard School District",-71.943559,41.434031,16,0.003011,0.001063
"06359","09","03060","CT","North Stonington, CT","North Stonington School District",-71.871475,41.457737,5297,0.996988,1
"06360","09","03120","CT","Norwich, CT","Norwich School District",-72.08221,41.534408,37541,1,0.927098
"06365","09"," ","CT","Preston, CT","09",-72.00664,41.516845,4720,1,0.021592
"06370","09","02580","CT","Oakdale, CT","Montville School District",-72.191737,41.470136,7429,1,0.379592
"06371","09","03540","CT","Old Lyme, CT","Regional School District 18",-72.308425,41.33631,9952,1,0.994305
"06373","09"," ","CT","Oneco, CT (PO Boxes)","09",-71.804506,41.681185,345,1,0.001578
"06374","09","03270","CT","Plainfield, CT","Plainfield School District",-71.916782,41.683659,8373,1,0.543525
"06375","09","02580","CT","Quaker Hill, CT","Montville School District",-72.134224,41.425869,38,0.010383,0.001942
"06375","09","02820","CT","Quaker Hill, CT","New London School District",-72.102061,41.382735,17,0.004645,0.000615
"06375","09","04860","CT","Quaker Hill, CT","Waterford School District",-72.11862,41.401643,3605,0.984972,0.184711
"06376","09","03540","CT","South Lyme, CT (PO Boxes)","Regional School District 18",-72.25414,41.293872,57,1,0.005695
"06377","09"," ","CT","Sterling, CT","09",-71.818631,41.722296,2962,1,0.01355
"06378","09","04380","CT","Stonington, CT","Stonington School District",-71.915721,41.367242,5399,1,0.29113
"06379","09","04380","CT","Pawcatuck, CT","Stonington School District",-71.849205,41.373345,9038,1,0.487355
"06380","09","03120","CT","Norwich, CT","Norwich School District",-72.052314,41.566001,2862,1,0.070679
"06382","09","02580","CT","Uncasville, CT","Montville School District",-72.113683,41.460841,11942,0.999581,0.610188
"06382","09","04860","CT","Uncasville, CT","Waterford School District",-72.110765,41.426179,5,0.000419,0.000256
"06384","09"," ","CT","Voluntown, CT","09",-71.834004,41.585021,2672,1,0.012223
"06385","09","04860","CT","Waterford, CT","Waterford School District",-72.146263,41.347325,15893,1,0.814315
"06387","09","03270","CT","Wauregan, CT","Plainfield School District",-71.910372,41.741265,213,1,0.013827
"06389","09","03120","CT","Norwich, CT","Norwich School District",-72.12525,41.561337,41,1,0.001013
"06390","36","11100","NY","Fishers Island, NY","Fishers Island Union Free School District",-71.997765,41.269725,236,1,1
"06401","09","00060","CT","Ansonia, CT","Ansonia School District",-73.074053,41.343629,19237,1,0.999376
"06403","09","03538","CT","Beacon Falls, CT","Regional School District 16",-73.054367,41.439531,6033,1,0.390384
"06405","09","00420","CT","Branford, CT","Branford School District",-72.811496,41.279545,27860,1,0.994077
"06409","09"," ","CT","Centerbrook, CT (PO Boxes)","09",-72.417483,41.347303,693,1,0.00317
"06410","09","00750","CT","Cheshire, CT","Cheshire School District",-72.906138,41.506056,29145,0.999451,0.996036
"06410","09","03538","CT","Cheshire, CT","Regional School District 16",-72.952437,41.52346,16,0.000549,0.001035
"06412","09"," ","CT","Chester, CT","09",-72.466758,41.404834,3994,1,0.018271
"06413","09","00810","CT","Clinton, CT","Clinton School District",-72.528484,41.293543,13235,1,0.998115
"06414","09","01230","CT","Cobalt, CT (PO Boxes)","East Hampton School District",-72.556347,41.565195,214,1,0.016514
"06415","09"," ","CT","Colchester, CT","09",-72.232479,41.536094,13,0.000771,0.000059
"06415","09","00840","CT","Colchester, CT","Colchester School District",-72.342579,41.563801,16068,0.953194,1
"06415","09","01200","CT","Colchester, CT","East Haddam School District",-72.335774,41.517231,776,0.046034,0.085032
"06416","09","00990","CT","Cromwell, CT","Cromwell School District",-72.666059,41.611307,14005,1,1
"06417","09"," ","CT","Deep River Center, CT","09",-72.449162,41.375193,4629,1,0.021175
"06418","09","00060","CT","Derby, CT","Ansonia School District",-73.07448,41.334174,12,0.000929,0.000623
"06418","09","01110","CT","Derby, CT","Derby School District",-73.079221,41.323244,12902,0.999071,1
"06419","09","03539","CT","Killingworth, CT","Regional School District 17",-72.570553,41.369934,6525,1,0.438773
"06420","09"," ","CT","Salem, CT","09",-72.258738,41.489428,4138,0.989479,0.018929
"06420","09","01200","CT","Salem, CT","East Haddam School District",-72.316094,41.468649,44,0.010521,0.004821
"06422","09","03535","CT","Durham, CT","Regional School District 13",-72.687281,41.463597,7388,1,0.625412
"06423","09","01200","CT","East Haddam, CT","East Haddam School District",-72.403238,41.470246,5097,1,0.558514
"06424","09","01230","CT","East Hampton, CT","East Hampton School District",-72.503799,41.577417,12450,0.972048,0.960722
"06424","09","03539","CT","East Hampton, CT","Regional School District 17",-72.508835,41.502092,358,0.027951,0.024074
"06426","09"," ","CT","Essex Village, CT","09",-72.399624,41.351525,3245,1,0.014844
"06437","09","01800","CT","Guilford, CT","Guilford School District",-72.696738,41.317005,22375,1,1
"06438","09","03539","CT","Haddam, CT","Regional School District 17",-72.505156,41.46372,2550,1,0.171475
"06441","09","03539","CT","Higganum, CT","Regional School District 17",-72.575988,41.465873,5438,1,0.365678
"06442","09"," ","CT","Ivoryton, CT","09",-72.445004,41.343435,2745,1,0.012557
"06443","09","02280","CT","Madison, CT","Madison School District",-72.617566,41.315706,18269,1,1
"06444","09","04230","CT","Marion, CT (PO Boxes)","Southington School District",-72.932023,41.562811,370,1,0.008591
"06447","09"," ","CT","Marlborough, CT","09",-72.459694,41.639758,6404,1,0.029295
"06450","09","02400","CT","Meriden, CT","Meriden School District",-72.78457,41.532471,36493,1,0.599543
"06451","09","02400","CT","Meriden, CT","Meriden School District",-72.81954,41.535703,24375,0.998198,0.400457
"06451","09","04230","CT","Meriden, CT","Southington School District",-72.845628,41.546204,44,0.001802,0.001022
"06455","09","03535","CT","Middlefield, CT","Regional School District 13",-72.71531,41.517033,3148,1,0.266486
"06456","09","01230","CT","Middle Haddam, CT (PO Boxes)","East Hampton School District",-72.549333,41.546706,295,1,0.022764
"06457","09","02490","CT","Middletown, CT","Middletown School District",-72.667998,41.55743,47648,1,1
"06460","09","02520","CT","Milford city, CT","Milford School District",-73.04925,41.21394,38207,1,0.72418
"06461","09","02520","CT","Milford city, CT","Milford School District",-73.073714,41.234419,14552,1,0.27582
"06467","09","04230","CT","Milldale, CT (PO Boxes)","Southington School District",-72.899537,41.568186,157,1,0.003645
"06468","09","02550","CT","Monroe, CT","Monroe School District",-73.224118,41.333284,19479,1,1
"06469","09","01200","CT","Moodus, CT","East Haddam School District",-72.442866,41.507062,3209,1,0.351633
"06470","09","02910","CT","Newtown, CT","Newtown School District",-73.316653,41.392801,16003,1,0.58066
"06471","09","00420","CT","North Branford, CT","Branford School District",-72.800974,41.317726,166,0.021503,0.005923
"06471","09","02970","CT","North Branford, CT","North Branford School District",-72.774796,41.328601,7554,0.978497,0.524328
"06472","09","02970","CT","Northford, CT","North Branford School District",-72.781955,41.39452,6853,1,0.475672
"06473","09","01290","CT","North Haven, CT","East Haven School District",-72.821995,41.355496,285,0.011686,0.009741
"06473","09","03030","CT","North Haven, CT","North Haven School District",-72.858354,41.381395,24093,0.987904,1
"06473","09","04740","CT","North Haven, CT","Wallingford School District",-72.827386,41.40158,10,0.00041,0.000222
"06475","09","03180","CT","Old Saybrook, CT","Old Saybrook School District",-72.3855,41.292991,10242,1,1
"06477","09"," ","CT","Orange, CT","09",-73.027029,41.281482,13956,1,0.063842
"06478","09","03240","CT","Oxford, CT","Oxford School District",-73.132379,41.424119,12683,1,1
"06479","09","04230","CT","Plantsville, CT","Southington School District",-72.89945,41.579092,10431,1,0.242193
"06480","09","03390","CT","Portland, CT","Portland School District",-72.610529,41.587751,9508,1,1
"06481","09","03535","CT","Rockfall, CT","Regional School District 13",-72.700126,41.534339,1277,1,0.108101
"06482","09","02910","CT","Sandy Hook, CT","Newtown School District",-73.249485,41.409883,11557,1,0.419339
"06483","09","03990","CT","Seymour, CT","Seymour School District",-73.083441,41.385667,16540,1,1
"06484","09","04050","CT","Shelton, CT","Shelton School District",-73.127789,41.305606,39559,1,1
"06488","09","03537","CT","Southbury, CT","Regional School District 15",-73.220187,41.475926,19904,1,0.724335
"06489","09","04230","CT","Southington, CT","Southington School District",-72.872353,41.605411,32067,1,0.744549
"06492","09","00750","CT","Wallingford, CT","Cheshire School District",-72.861518,41.488007,116,0.002564,0.003964
"06492","09","04740","CT","Wallingford, CT","Wallingford School District",-72.819938,41.459828,45125,0.997436,0.999778
"06498","09","00810","CT","Westbrook, CT","Clinton School District",-72.494042,41.290373,25,0.00359,0.001885
"06498","09","04980","CT","Westbrook, CT","Westbrook School District",-72.45665,41.294631,6938,0.996409,1
"06510","09","02790","CT","New Haven, CT","New Haven School District",-72.925454,41.307378,2737,1,0.02109
"06511","09","01860","CT","New Haven, CT","Hamden School District",-72.93095,41.335182,43,0.000802,0.000705
"06511","09","02790","CT","New Haven, CT","New Haven School District",-72.930829,41.31779,53557,0.999197,0.412678
"06512","09","01290","CT","East Haven, CT","East Haven School District",-72.868254,41.279199,21986,0.736278,0.751478
"06512","09","02790","CT","East Haven, CT","New Haven School District",-72.893667,41.274635,7875,0.263722,0.06068
"06513","09","01290","CT","New Haven, CT","East Haven School District",-72.851265,41.326389,6986,0.179229,0.23878
"06513","09","02790","CT","New Haven, CT","New Haven School District",-72.887231,41.312076,31992,0.82077,0.246511
"06514","09","01860","CT","Hamden, CT","Hamden School District",-72.936243,41.361435,26265,1,0.430856
"06515","09","02790","CT","New Haven, CT","New Haven School District",-72.965719,41.328547,17141,1,0.132078
"06516","09","04950","CT","West Haven, CT","West Haven School District",-72.963157,41.272078,55564,1,1
"06517","09","01860","CT","Hamden, CT","Hamden School District",-72.910795,41.348134,14804,0.996701,0.242848
"06517","09","02790","CT","Hamden, CT","New Haven School District",-72.897743,41.325483,49,0.003299,0.000378
"06518","09","01860","CT","Hamden, CT","Hamden School District",-72.908466,41.408081,19848,1,0.32559
"06519","09","02790","CT","New Haven, CT","New Haven School District",-72.936453,41.295991,16428,1,0.126584
"06524","09"," ","CT","Bethany, CT","09",-73.00203,41.424544,5563,1,0.025448
"06525","09"," ","CT","Woodbridge, CT","09",-73.012985,41.352468,8990,1,0.041125
"06604","09","00450","CT","Bridgeport, CT","Bridgeport School District",-73.204374,41.1826,30313,1,0.210173
"06605","09","00450","CT","Bridgeport, CT","Bridgeport School District",-73.215095,41.167137,23397,1,0.162221
"06606","09","00450","CT","Bridgeport, CT","Bridgeport School District",-73.207477,41.208542,46236,1,0.320573
"06607","09","00450","CT","Bridgeport, CT","Bridgeport School District",-73.164416,41.17832,7843,1,0.054379
"06608","09","00450","CT","Bridgeport, CT","Bridgeport School District",-73.181222,41.190636,13671,1,0.094787
"06610","09","00450","CT","Bridgeport, CT","Bridgeport School District",-73.168335,41.200892,22735,1,0.157631
"06611","09"," ","CT","Trumbull, CT","09",-73.257018,41.258831,37,0.001025,0.000169
"06611","09","00450","CT","Trumbull, CT","Bridgeport School District",-73.173054,41.222182,34,0.000942,0.000236
"06611","09","04440","CT","Trumbull, CT","Stratford School District",-73.145945,41.254812,2,0.000055,0.000039
"06611","09","04620","CT","Trumbull, CT","Trumbull School District",-73.209785,41.256569,36018,0.997977,1
"06612","09"," ","CT","Easton, CT","09",-73.286211,41.257206,7453,1,0.034094
"06614","09","04440","CT","Stratford, CT","Stratford School District",-73.135186,41.218447,32929,1,0.640841
"06615","09","04440","CT","Stratford, CT","Stratford School District",-73.13565,41.179365,18453,1,0.359119
"06702","09","04830","CT","Waterbury, CT","Waterbury School District",-73.03799,41.556959,3654,1,0.033108
"06704","09","04830","CT","Waterbury, CT","Waterbury School District",-73.03151,41.576441,25139,1,0.227778
"06705","09","04830","CT","Waterbury, CT","Waterbury School District",-72.995607,41.550432,27122,1,0.245746
"06706","09","04830","CT","Waterbury, CT","Waterbury School District",-73.02929,41.535964,14324,1,0.129786
"06708","09","04830","CT","Waterbury, CT","Waterbury School District",-73.06474,41.55232,29342,0.997416,0.265861
"06708","09","04890","CT","Waterbury, CT","Watertown School District",-73.067979,41.588327,76,0.002583,0.003376
"06710","09","04830","CT","Waterbury, CT","Waterbury School District",-73.046084,41.566683,10715,1,0.097086
"06712","09","03538","CT","Prospect, CT","Regional School District 16",-72.978862,41.503321,9376,1,0.606704
"06716","09","05280","CT","Wolcott, CT","Wolcott School District",-72.981273,41.596776,16680,1,1
"06750","09","02220","CT","Bantam, CT","Litchfield School District",-73.251537,41.721609,1445,0.999308,0.170683
"06750","09","03515","CT","Bantam, CT","Regional School District 06",-73.274675,41.702962,1,0.000692,0.000147
"06751","09","03536","CT","Bethlehem Village, CT","Regional School District 14",-73.207179,41.638664,3577,1,0.263363
"06752","09","03530","CT","Bridgewater, CT","Regional School District 12",-73.361252,41.52947,1735,1,0.229285
"06754","09"," ","CT","Cornwall Bridge, CT","09",-73.37455,41.807701,577,0.339612,0.002639
"06754","09","03515","CT","Cornwall Bridge, CT","Regional School District 06",-73.359972,41.746641,1122,0.660388,0.164396
"06755","09","02850","CT","Gaylordsville, CT","New Milford School District",-73.481063,41.64492,1133,1,0.04026
"06756","09","03515","CT","Goshen, CT","Regional School District 06",-73.245486,41.827184,2853,1,0.418022
"06757","09"," ","CT","Kent, CT","09",-73.460065,41.72939,2258,1,0.010329
"06758","09","03515","CT","Lakeside, CT","Regional School District 06",-73.243992,41.675573,354,1,0.051868
"06759","09"," ","CT","Litchfield, CT","09",-73.309084,41.800427,60,0.01049,0.000274
"06759","09","02220","CT","Litchfield, CT","Litchfield School District",-73.1914,41.751476,5531,0.966958,0.653319
"06759","09","03515","CT","Litchfield, CT","Regional School District 06",-73.279731,41.78665,57,0.009965,0.008352
"06759","09","04590","CT","Litchfield, CT","Torrington School District",-73.198257,41.795296,72,0.012587,0.001979
"06762","09","03537","CT","Middlebury, CT","Regional School District 15",-73.116011,41.529937,7561,1,0.275156
"06763","09","03515","CT","Morris, CT","Regional School District 06",-73.205098,41.689935,2033,1,0.297875
"06770","09","02640","CT","Naugatuck, CT","Naugatuck School District",-73.048165,41.492035,31862,0.996466,1
"06770","09","03537","CT","Naugatuck, CT","Regional School District 15",-73.105619,41.492805,14,0.000438,0.000509
"06770","09","03538","CT","Naugatuck, CT","Regional School District 16",-73.019324,41.473462,29,0.000907,0.001877
"06770","09","04830","CT","Naugatuck, CT","Waterbury School District",-73.051205,41.517083,70,0.002189,0.000634
"06776","09"," ","CT","New Milford, CT","09",-73.477155,41.593711,4,0.000149,0.000018
"06776","09","02850","CT","New Milford, CT","New Milford School District",-73.41141,41.582405,26875,0.999479,0.954978
"06776","09","03530","CT","New Milford, CT","Regional School District 12",-73.355169,41.627225,10,0.000372,0.001322
"06777","09","03515","CT","New Preston, CT","Regional School District 06",-73.341126,41.71091,331,0.190998,0.048498
"06777","09","03530","CT","New Preston, CT","Regional School District 12",-73.344033,41.679448,1402,0.809001,0.185278
"06778","09","02220","CT","Northfield, CT","Litchfield School District",-73.106109,41.70903,1378,1,0.162769
"06779","09","04890","CT","Oakville, CT","Watertown School District",-73.086523,41.591948,8324,1,0.369725
"06782","09","03330","CT","Plymouth, CT","Plymouth School District",-73.049118,41.660188,2376,1,0.19407
"06783","09","03530","CT","Roxbury, CT","Regional School District 12",-73.296708,41.548803,2228,1,0.294436
"06784","09"," ","CT","Sherman, CT","09",-73.495624,41.575738,3577,0.969639,0.016363
