"state","puma2k","puma12","stab","PUMAname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma2k","puma12","State Postal Code","PUMA12 Name","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma2k to puma12 alloc factor","puma12 to puma2k alloc factor"
"04","00119","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400119",-112.172814,33.377127,34848,0.223053,0.281611 
"04","00120","00100","AZ","Maricopa County--Gilbert (South) & Queen Creek Towns","0400120",-111.776039,33.269096,472,0.001869,0.004241 
"04","00120","00105","AZ","Maricopa County--Gilbert Town (North)","0400120",-111.814737,33.32438,2839,0.011244,0.02098 
"04","00120","00106","AZ","Maricopa County--Chandler City (Northeast)","0400120",-111.848606,33.318587,111536,0.441748,0.978077 
"04","00120","00107","AZ","Maricopa County--Chandler City (South)","0400120",-111.832715,33.242317,100430,0.397761,1 
"04","00120","00108","AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities","0400120",-111.924063,33.311375,37211,0.147377,0.368251 
"04","00121","00100","AZ","Maricopa County--Gilbert (South) & Queen Creek Towns","0400121",-111.702428,33.267785,110811,0.450834,0.995759 
"04","00121","00105","AZ","Maricopa County--Gilbert Town (North)","0400121",-111.763246,33.348607,132480,0.538994,0.97902 
"04","00121","00106","AZ","Maricopa County--Chandler City (Northeast)","0400121",-111.797781,33.310297,2500,0.010171,0.021923 
"04","00122","00101","AZ","Maricopa County--Mesa City (East)","0400122",-111.630878,33.378267,94111,0.657236,0.643256 
"04","00122","00104","AZ","Maricopa County--Mesa City (South Central)","0400122",-111.747173,33.395221,49081,0.342763,0.489688 
"04","00201","00207","AZ","Tucson City (Northwest)","0400201",-110.951638,32.238006,31737,0.227017,0.31137 
"04","00201","00208","AZ","Tucson City (South)","0400201",-110.955333,32.162478,108063,0.772983,1 
"04","00202","00206","AZ","Tucson City (Northeast)","0400202",-110.873234,32.22856,20175,0.193698,0.197486 
"04","00202","00209","AZ","Tucson City (Southeast)","0400202",-110.86745,32.199728,83982,0.806302,0.727495 
